Word,Meaning_ja
achieve,達成する
acquire,習得する・獲得する
adjust,調整する
affect,影響を与える
afford,～する余裕がある
agree,同意する
analyze,分析する
announce,発表する
apologize,謝る
apply,応募する・適用する
approve,承認する
argue,議論する・主張する
arrange,手配する・整える
attach,添付する・くっつける
attempt,試みる
avoid,避ける
behave,振る舞う
belong,所属している
borrow,借りる
bother,邪魔する・悩ませる
calculate,計算する
cancel,中止する・キャンセルする
celebrate,祝う
compare,比較する
complain,不平を言う
confirm,確認する
connect,接続する・つなぐ
contain,含む
contribute,貢献する・寄付する
convince,納得させる
decrease,減少する・減らす
deliver,届ける
demand,要求する
demonstrate,実演する・証明する
depend,依存する
develop,発達する・開発する
divide,分ける
donate,寄付する
employ,雇う
encourage,励ます・促す
entertain,楽しませる
establish,設立する
examine,調査する・診察する
exchange,交換する
exist,存在する
expand,拡大する
explore,探検する・調査する
express,表現する
fail,失敗する
feed,～に餌を与える
forgive,許す
handle,扱う・対処する
identify,特定する・識別する
ignore,無視する
impress,感心させる
improve,改善する
include,含む
increase,増える・増やす
inform,知らせる
intend,～するつもりである
introduce,紹介する・導入する
invent,発明する
involve,含む・関与させる
join,参加する
lend,貸す
limit,制限する
maintain,維持する
manage,管理する・うまくやる
measure,測る
mention,言及する
notice,気づく
obtain,得る
operate,操作する・運営する
overcome,克服する
participate,参加する
perform,行う・演じる
permit,許可する
prepare,準備する
prevent,防ぐ
propose,提案する
provide,供給する・与える
publish,出版する・公表する
realize,気づく・実現する
recommend,推薦する
reduce,減らす
refuse,断る
relate,関連づける
remind,思い出させる
repair,修理する
replace,取り替える
require,要求する・必要とする
reserve,予約する
respect,尊敬する
respond,返事する・反応する
reveal,明らかにする
separate,分ける
solve,解決する
suffer,苦しむ
supply,供給する
survive,生き残る
access,利用権・アクセスする
advantage,利点
advertisement,広告
agency,代理店・機関
amount,量・額
announcement,発表・告知
appointment,約束・予約
attention,注意
author,著者
average,平均・平均の
behavior,行動・振る舞い
benefit,利益・恩恵
border,国境・境界
central,中心の
chemical,化学物質・化学の
citizen,市民
climate,気候
community,地域社会
competition,競争・大会
condition,状況・条件
conference,会議
connection,つながり
consumer,消費者
culture,文化
decade,10年間
decrease,減少
department,部門・売り場
desire,願望
device,装置
direction,方向
disaster,災害
economy,経済
effect,影響・効果
effort,努力
environment,環境
event,出来事・行事
evidence,証拠
experience,経験・経験する
factor,要因
fee,料金・手数料
foreigner,外国人
government,政府
habit,習慣
health,健康
income,収入
individual,個人・個々の
industry,産業
instructor,指導者・講師
material,材料・資料
opinion,意見
population,人口
position,位置・地位
pressure,圧力・重圧
product,製品
quality,質・品質
range,範囲
relationship,関係
resource,資源
risk,危険・リスク
situation,状況
technology,技術
tradition,伝統
value,価値・評価する
volunteer,ボランティア・自ら進んでする
waste,無駄・無駄にする
habit,習慣
custom,慣習・税関
solution,解決策
advise,忠告する
announce,発表する
arrive,到着する
behave,振る舞う
communicate,意思疎通する
compete,競争する
concentrate,集中する
deliver,届ける
depend,頼る・依存する
disappear,消える
invite,招待する
match,合う・調和する
offer,申し出る・提供する
search,捜す・捜索する
share,分け合う・共有する
trust,信頼する
aim,狙う・目的
graduate,卒業する
hang,掛ける・ぶら下がる
inform,知らせる
notice,気づく
organize,準備する・組織する
press,押す
repair,修理する
serve,仕える・（料理を）出す
smell,においがする・かぐ
stretch,伸ばす・広がる
succeed,成功する
trust,信頼する
warn,警告する
wonder,不思議に思う・～かなと思う
youth,若さ・若者
